# V3.1.4 AssignIds id	name: full client dump ZDTD_DUMP_BLOCK_IDS (2026-07-22).
# Pins verified: treeDeadTree02=24626 cntWoodenChestClosed=18671 terrStone=1.
# Source: stock client AssignIds Postfix; do NOT merge stale world saves.
286	woodShapes:cubeHalfSplitBeveledCorner
287	woodShapes:rampCubeHalfCornerBeveled
288	woodShapes:cubeCornerArch
289	woodShapes:cubeHalfCornerArch
290	woodShapes:cubeHalfCornerBeveled
291	woodShapes:halfBlockPoleQuarter
292	woodShapes:cubeHalfPoleQuarterSideCentered
293	woodShapes:halfQuarterPost
294	woodShapes:halfQuarterPost2
295	woodShapes:cubeQuarterPlateCorner
296	woodShapes:cubeQuarterPlateCorner2
297	woodShapes:cubeQuarter
298	woodShapes:cubeQuarterCenter
299	woodShapes:quarterCenteredWall
300	woodShapes:cubeQuarterRampInclineHalfFillerLeft
301	woodShapes:cubeQuarterRampInclineHalfFillerRight
302	woodShapes:quarterInsideCorner
303	woodShapes:quarterInsideCorner3way
304	woodShapes:cubeTee
305	woodShapes:quarterCenteredTee
306	woodShapes:quarterTeeCentered
307	woodShapes:cubeQuarter4WayCentered
308	woodShapes:cubeQuarter4WaySideCentered
309	woodShapes:cubeQuarter5WayCentered
310	woodShapes:wedge60TipCornerCubeQuarter
311	woodShapes:cubeEighth
312	woodShapes:cubeEighthCentered
313	woodShapes:cubeHalfPoleCorner
314	woodShapes:cubeHalfPoleSideCentered
315	woodShapes:cubeHalfPoleCentered
316	woodShapes:pole
317	woodShapes:poleCentered
318	woodShapes:poleSideCentered
319	woodShapes:poleHalf
320	woodShapes:poleHalfCentered
321	woodShapes:poleHalfSideCentered
322	woodShapes:poleTwoWayCorner
323	woodShapes:poleThreeWayCorner
324	woodShapes:poleSquareSideCenteredCorner
325	woodShapes:poleSquareCenteredTee
326	woodShapes:poleSquareSideCenteredTee
327	woodShapes:poleSquareSideCenteredTeeFourWay
328	woodShapes:poleSquareFourWay
329	woodShapes:poleSquareCenteredFourWay
330	woodShapes:poleSquareCornerBracketLeft
331	woodShapes:poleSquareSideCenteredCornerBracket
332	woodShapes:poleSquareCornerBracketRight
333	woodShapes:poleSquareBracketCorner
334	woodShapes:poleSquareBracketCornerPlate
335	woodShapes:poleSquareBracketCornerPlate02
336	woodShapes:poleSquareBracketLeft
337	woodShapes:poleSquareBracketRight
338	woodShapes:poleSquareBracketDouble
339	woodShapes:poleSquareCenteredBracketDouble
340	woodShapes:poleSquareSideCenteredBracketDouble
341	woodShapes:poleSquareDouble
342	woodShapes:poleSquareDouble2
343	woodShapes:poleSquareDoubleTop
344	woodShapes:poleSquareDoubleTopDouble
345	woodShapes:cubePoleCorner
346	woodShapes:cubePoleCentered
347	woodShapes:cubePoleSideCentered
348	woodShapes:poleSquareCornerCubeLeft
349	woodShapes:poleSquareCornerCubeRight
350	woodShapes:cubePoleCornerDouble
351	woodShapes:rampInclineFillerPoleSquareLeft
352	woodShapes:rampInclineFillerPoleSquareRight
353	woodShapes:rampInclinePoleSquareLeft
354	woodShapes:rampInclinePoleSquareRight
355	woodShapes:poleSquareTipLeft
356	woodShapes:poleSquareTipRight
357	woodShapes:corniceBracketHalfCentered
358	woodShapes:poleSquareDiagonal
359	woodShapes:poleSquareCircle
360	woodShapes:catwalkPlate
361	woodShapes:polePlateQuarter
362	woodShapes:polePlateHalf
363	woodShapes:polePlateHalfCentered
364	woodShapes:polePlateHalfOffCentered
365	woodShapes:polePlateThreeQuarter
366	woodShapes:polePlateCornerBeveled
367	woodShapes:polePlate
368	woodShapes:polePlateCentered
369	woodShapes:polePlateOffCentered
370	woodShapes:polePlateCorner
371	woodShapes:polePlateHalfCorner
372	woodShapes:polePlateCenteredTee
373	woodShapes:polePlateCenteredTee2
374	woodShapes:poleSquareCornerRound
375	woodShapes:poleQuarterCenteredPlate4way
376	woodShapes:cubeQuarterCenteredSquareTop
377	woodShapes:cubeQuarterCornerSquareTop
378	woodShapes:cubeQuarterCornerInsideTrim
379	woodShapes:cubeHalfPlateCorner
380	woodShapes:cubeHalfPlateCorner2
381	woodShapes:cubeHalfPlateCorner2Trim
382	woodShapes:cubeHalfPlateCorner2Trim2
383	woodShapes:plate
384	woodShapes:plateCentered
385	woodShapes:plateOffCentered
386	woodShapes:plateCladding01
387	woodShapes:plateCladding02
388	woodShapes:plateCladding03
389	woodShapes:plateCladding04
390	woodShapes:plateCladding05
391	woodShapes:plateCladding06
392	woodShapes:plateCladding07
393	woodShapes:plateCladding08
394	woodShapes:plateHole
395	woodShapes:plateCorner
396	woodShapes:plateCornerHalfTop
397	woodShapes:plateCornerHalfTopOffset
398	woodShapes:plateCornerHalf
399	woodShapes:plateHalfThreeSided
400	woodShapes:plateHalfThreeSidedHalf
401	woodShapes:plateCornerHalfTopHalf
402	woodShapes:plateCornerHalfTopHalfOffset
403	woodShapes:plateCornerTwoWall
404	woodShapes:plateCornerTwoWallHalf
405	woodShapes:plateCornerHalfTwoWallHalfLeft
406	woodShapes:plateCornerHalfTwoWallHalfRight
407	woodShapes:plateCornerHalfTwoWallHalfLeftFront
408	woodShapes:plateCornerHalfTwoWallHalfRightFront
409	woodShapes:plateCornerRound1m
410	woodShapes:plateCornerRound1m02
411	woodShapes:plateArched
412	woodShapes:plateThreeQuarter
413	woodShapes:plateHalf
414	woodShapes:plateHalfCentered
415	woodShapes:plateHalfOffCentered
416	woodShapes:plateQuarter
417	woodShapes:plateCornerBeveled
418	woodShapes:plateHalfTriangle
419	woodShapes:plateQuarterTriangle
420	woodShapes:plateQuarterTriangleCorner
421	woodShapes:poleCornerCubePlate
422	woodShapes:poleCornerCubePlate2
423	woodShapes:platePole
424	woodShapes:platePoleSideCentered
425	woodShapes:platePoleCentered
426	woodShapes:platePoleCornerFiller
427	woodShapes:platePoleCorner
428	woodShapes:platePoleCorner2
429	woodShapes:poleTwoWayPlate
430	woodShapes:poleTwoWayPlate2
431	woodShapes:poleTwoWayPlateCorner
432	woodShapes:poleThreeWayPlateCorner
433	woodShapes:poleThreeWayPlate
434	woodShapes:poleThreeWayPlate2
435	woodShapes:platePoleCornerCorner
436	woodShapes:arrowSlit
437	woodShapes:arrowSlitHalf
438	woodShapes:arrowSlitQuarter
439	woodShapes:arrowSlitHalfCross
440	woodShapes:arrowSlitHalfTee
441	woodShapes:arrowSlitHalfCorner
442	woodShapes:arrowSlitHalfRamp
443	woodShapes:arrowSlitHalfRampTip
444	woodShapes:billboardQuarter
445	woodShapes:billboardQuarterTrim
446	woodShapes:billboardHalf
447	woodShapes:billboard
448	woodShapes:billboardCentered
449	woodShapes:billboard2m
450	woodShapes:plateDouble
451	woodShapes:plateDouble2
452	woodShapes:plateDouble3
453	woodShapes:plateHalfDouble
454	woodShapes:plateHalfDouble2
455	woodShapes:pillar100
456	woodShapes:halfPillar100
457	woodShapes:pillar100Open
458	woodShapes:pillar1006Way
459	woodShapes:halfPillar1m
460	woodShapes:halfPillar1mHalf
461	woodShapes:halfPillar1mPlate
462	woodShapes:quarterPillar1m
463	woodShapes:quarterPillar1mCorner
464	woodShapes:plateQuarterRoundCorner
465	woodShapes:cone
466	woodShapes:sphere
467	woodShapes:pillar100Cap
468	woodShapes:pillar50
469	woodShapes:halfPillar50
470	woodShapes:pillar50Corner
471	woodShapes:halfPillar50Corner
472	woodShapes:halfLengthPillar50
473	woodShapes:halfLengthPillar50Corner
474	woodShapes:logsWall01
475	woodShapes:logsWall02
476	woodShapes:logsHalf
477	woodShapes:logsHalf2
478	woodShapes:logsHalfCorner
479	woodShapes:logsHalfCornerTop
480	woodShapes:logsHalfCornerTop2
481	woodShapes:logsQuarter
482	woodShapes:pillar50CenterPlate
483	woodShapes:pillar50CenterPlate2
484	woodShapes:pillar50CornerPlate
485	woodShapes:pillar50CenteredSquareTop
486	woodShapes:pillar50CenteredSquareBottom
487	woodShapes:pillar50CornerSquareTop
488	woodShapes:pillar50CornerSquareBottom
489	woodShapes:cubeHalfTopPole1mBottom
490	woodShapes:cubeHalfBottomPole1mTop
491	woodShapes:halfBlockPillar50
492	woodShapes:pillar50Plate
493	woodShapes:pillar100Plate
494	woodShapes:pillar0.0125
495	woodShapes:pillar0.0125Centered
496	woodShapes:pillar0.0125SideCentered
497	woodShapes:pillar0.025
498	woodShapes:pillar0.025Half
499	woodShapes:pillar0.025Centered
500	woodShapes:pillar0.025CenteredHalf
501	woodShapes:pillar0.025Middle
502	woodShapes:pillar0.025MiddleHalf
503	woodShapes:pillar0.025Double
504	woodShapes:pillar0.025InsideCorner
505	woodShapes:pillar0.025OutsideCorner
506	woodShapes:pillar0.05
507	woodShapes:pillar0.05Half
508	woodShapes:pillar0.05Centered
509	woodShapes:pillar0.05CenteredHalf
510	woodShapes:pillar0.05Middle
511	woodShapes:pillar0.05MiddleHalf
512	woodShapes:pillar0.05Double
513	woodShapes:pillar0.05InsideCorner
514	woodShapes:pillar0.05OutsideCorner
515	woodShapes:pillar0.25Triple
516	woodShapes:poleSupport1m
517	woodShapes:pillarCrossSupport
518	woodShapes:pillarCrossSupportFiller
519	woodShapes:poleSupport
520	woodShapes:poleSupport2
521	woodShapes:poleSupportCenter
522	woodShapes:poleCross
523	woodShapes:poleCross3x1
524	woodShapes:poleCrossCenter
525	woodShapes:poleCrossCenter3x1
526	woodShapes:poleCrossHalf
527	woodShapes:pipeStraight
528	woodShapes:pipeStraightOpenEnded
529	woodShapes:pipeJoint
530	woodShapes:pipeFlange
531	woodShapes:pipeFlangeBottom
532	woodShapes:pipeCorner
533	woodShapes:pipeCap
534	woodShapes:pipeThin
535	woodShapes:pipeThinCornerDown
536	woodShapes:pipeThinCornerUp
537	woodShapes:pillar50UtilityTop
538	woodShapes:poleUtilitySupport
539	woodShapes:pillar375
540	woodShapes:pillar375UtilityTop
541	woodShapes:pillar25
542	woodShapes:pillar25x25x25Tee
543	woodShapes:pillar50x25x50Tee
544	woodShapes:cubeSewerBarrel
545	woodShapes:cube2mRound
546	woodShapes:3mTubeCenter
547	woodShapes:3mTubeCorner
548	woodShapes:3mTubeCenterStraight
549	woodShapes:3mTubeCenterStraight2
550	woodShapes:3mTunnelCenter
551	woodShapes:3mTunnelCenterCorner
552	woodShapes:3mTunnelCenterCross
553	woodShapes:3mTunnelCenterTee
554	woodShapes:3mTunnelCorner
555	woodShapes:3mTunnelInsideCorner
556	woodShapes:3mTunnelInsideCenter
557	woodShapes:3mTunnelOutsideCorner
558	woodShapes:3mTunnelOutsideCenter
559	woodShapes:cube3mCenter
560	woodShapes:cube3mCenterStraightLeft
561	woodShapes:cube3mCenterStraightRight
562	woodShapes:cube3mCorner
563	woodShapes:cubeHalf3mCenter
564	woodShapes:cubeHalf3mCorner
565	woodShapes:cube5mArch01
566	woodShapes:cube5mArch02
567	woodShapes:cube5mArch03
568	woodShapes:cube5mArch04
569	woodShapes:cube5mArch05
570	woodShapes:cube5mRound01
571	woodShapes:cube5mRound02
572	woodShapes:cube5mRound03
573	woodShapes:cube5mRound04
574	woodShapes:cubeHalf5mRound01
575	woodShapes:cubeHalf5mRound02
576	woodShapes:cubeHalf5mRound03
577	woodShapes:cubeHalf5mRound04
578	woodShapes:cubeQuarter5mRound01
579	woodShapes:cubeQuarter5mRound02
580	woodShapes:cubeQuarter5mRound03
581	woodShapes:cubeQuarter5mRound04
582	woodShapes:cubeQuarter5mRound05
583	woodShapes:cubeQuarter5mRoundStraightLeft
584	woodShapes:cubeQuarter5mRoundStraightRight
585	woodShapes:cube5mRoundRoofTop01
586	woodShapes:cube5mRoundRoofTop02
587	woodShapes:cube5mRoundRoofTop03
588	woodShapes:cube5mRoundRoofBottom01
589	woodShapes:cube5mRoundRoofBottom02
590	woodShapes:cube5mRoundRoofBottom03
591	woodShapes:cube5mRoundRoofBottom04
592	woodShapes:cube5mRoundRoofBottom05
593	woodShapes:cube5mRoundRoofBottom06
594	woodShapes:cube5mDomeTop01
595	woodShapes:cube5mDomeTop02
596	woodShapes:cube5mDomeTop03
597	woodShapes:cube5mDomeMiddle01
598	woodShapes:cube5mDomeMiddle02
599	woodShapes:cube5mDomeMiddle03
600	woodShapes:cube5mDomeMiddle04
601	woodShapes:cube5mDomeMiddle05
602	woodShapes:cube5mDomeMiddle06
603	woodShapes:cube5mDomeBottom01
604	woodShapes:cube5mDomeBottom02
605	woodShapes:cube5mDomeBottom03
606	woodShapes:cube5mDomeBottom04
607	woodShapes:cube5mDomeBottom05
608	woodShapes:cube5mDomeMiddle02Pipe
609	woodShapes:cube5mDomeMiddle06Pipe
610	woodShapes:cube5mDomeBottom03Pipe
611	woodShapes:cube5mRoundCatwalkFiller01
612	woodShapes:cube5mRoundCatwalkFiller02
613	woodShapes:cube5mRoundCatwalkFiller03
614	woodShapes:cube5mRoundCatwalkFiller04
615	woodShapes:cubeQuarter5mRoundCatwalkFiller01
616	woodShapes:cubeQuarter5mRoundCatwalkFiller02
617	woodShapes:cubeQuarter5mRoundCatwalkFiller04
618	woodShapes:cube5mRoundCatwalk01
619	woodShapes:cube5mRoundCatwalk02
620	woodShapes:cube5mRoundCatwalk03
621	woodShapes:cube5mRoundCatwalk04
622	woodShapes:cube5mRoundCatwalk05
623	woodShapes:cube5mRoundCatwalkLadder
624	woodShapes:cube7mRound01
625	woodShapes:cube7mRound02
626	woodShapes:cube7mRound03
627	woodShapes:cube7mRound04
628	woodShapes:cube7mRound05
629	woodShapes:cubeHalf7mRound01
630	woodShapes:cubeHalf7mRound02
631	woodShapes:cubeHalf7mRound03
632	woodShapes:cubeHalf7mRound04
633	woodShapes:cubeHalf7mRound05
634	woodShapes:cubeQuarter7mRound01
635	woodShapes:cubeQuarter7mRound02
636	woodShapes:cubeQuarter7mRound03
637	woodShapes:cubeQuarter7mRound04
638	woodShapes:cubeQuarter7mRound05
639	woodShapes:cubeQuarter7mRoundFiller
640	woodShapes:cube7mRoundCatwalkFiller01
641	woodShapes:cube7mRoundCatwalkFiller02
642	woodShapes:cube7mRoundCatwalkFiller03
643	woodShapes:cube7mRoundCatwalkFiller04
644	woodShapes:cube7mRoundCatwalkFiller05
645	woodShapes:cubeQuarter7mRoundCatwalkFiller01
646	woodShapes:cubeQuarter7mRoundCatwalkFiller02
647	woodShapes:cubeQuarter7mRoundCatwalkFiller03
648	woodShapes:cubeQuarter7mRoundCatwalkFiller04
649	woodShapes:cubeQuarter7mRoundCatwalkFiller05
650	woodShapes:cube7mRoundCatwalk01
651	woodShapes:cube7mRoundCatwalk02
652	woodShapes:cube7mRoundCatwalk03
653	woodShapes:cube7mRoundCatwalk04
654	woodShapes:cube7mRoundCatwalk05
655	woodShapes:cube7mRoundCatwalk06
656	woodShapes:cube7mRoundCatwalk01Left
657	woodShapes:cube7mRoundCatwalk01Right
658	woodShapes:cube7mRoundCatwalk01Center
659	woodShapes:cube7mRoundCatwalk01LeftStraight
660	woodShapes:cube7mRoundCatwalk01RightStraight
661	woodShapes:cube7mRoundCatwalkRails
662	woodShapes:cube7mRoundCatwalkLadder
663	woodShapes:arch
664	woodShapes:arch2
665	woodShapes:archCorner
666	woodShapes:archInsideCorner
667	woodShapes:archInsideCorner02
668	woodShapes:archRampTop
669	woodShapes:archRampBottom
670	woodShapes:arch3m
671	woodShapes:arch3mTip
672	woodShapes:arch3mMiddle
673	woodShapes:archOffset
674	woodShapes:archOffsetMiddle
675	woodShapes:archCurveBase
676	woodShapes:archCurveMiddle
677	woodShapes:archCurveTop
678	woodShapes:archCurveFiller
679	woodShapes:archCurveTopMiddle
680	woodShapes:archCurveTopMiddleCross
681	woodShapes:archCurveTopMiddleTopper
682	woodShapes:archCurveWall
683	woodShapes:archCurveWallCap
684	woodShapes:archCurveKeystoneTop
685	woodShapes:archCurveKeystoneBottom
686	woodShapes:archCurveTopDoubleTop
687	woodShapes:archCurveTopDoubleBottom
688	woodShapes:cornerRound
689	woodShapes:cubeHalfCornerRound1m
690	woodShapes:plateRound
691	woodShapes:plateHalfCornerRoundLeft
692	woodShapes:plateHalfCornerRoundRight
693	woodShapes:plateHalfCornerRoundLeftOffset
694	woodShapes:plateHalfCornerRoundRightOffset
695	woodShapes:cubeCornerRoundTop
696	woodShapes:cubeCornerRoundTopHollow
697	woodShapes:cubeHalfQuarterRoundInside
698	woodShapes:plateQuarterRoundInside
699	woodShapes:cubeQuarterRoundOutside
700	woodShapes:cubeHalfQuarterRoundOutside
701	woodShapes:plateQuarterRoundOutside
702	woodShapes:plateFenderSkirt
703	woodShapes:plateFenderSkirtLeft
704	woodShapes:plateFenderSkirtRight
705	woodShapes:rampFrame
706	woodShapes:ramp
707	woodShapes:cubeHalfRamp
708	woodShapes:cubeHalfRampTip
709	woodShapes:rampTipOffset
710	woodShapes:rampTipOffsetInsideCorner
711	woodShapes:rampTipOffsetHalfLeft
712	woodShapes:rampTipOffsetHalfRight
713	woodShapes:rampTipOffsetHalfCorner
714	woodShapes:rampInsideCornerFull
715	woodShapes:rampInsideCornerFull2
716	woodShapes:rampInsideCornerInclineLeft
717	woodShapes:rampInsideCornerInclineRight
718	woodShapes:rampInsideCornerInclineLeft2
719	woodShapes:rampInsideCornerInclineRight2
720	woodShapes:rampInsideCornerInclineLeft3
721	woodShapes:rampInsideCornerInclineRight3
722	woodShapes:rampOutsideCornerFull
723	woodShapes:rampCorner
724	woodShapes:rampCornerFiller
725	woodShapes:rampWedge60Tip
726	woodShapes:rampWedge60TipHollow
727	woodShapes:cubeHalfCornerRampFiller
728	woodShapes:cubeHalfCornerRampFiller02
729	woodShapes:quarterInsideCornerRamp
730	woodShapes:rampSplitLeft01
731	woodShapes:rampSplitRight01
732	woodShapes:rampSplitLeft02
733	woodShapes:rampSplitRight02
734	woodShapes:rampSplitLeft03
735	woodShapes:rampSplitRight03
736	woodShapes:rampSplitLeft04
737	woodShapes:rampSplitRight04
738	woodShapes:rampSplitLeft05
739	woodShapes:rampSplitRight05
740	woodShapes:rampSplitInclineLeft
741	woodShapes:rampSplitInclineRight
742	woodShapes:wedge60
743	woodShapes:wedge60Tip
744	woodShapes:wedge60TipHalf
745	woodShapes:wedge60TipHalfOutsideCorner
746	woodShapes:wedge60TipHalfInsideCorner
747	woodShapes:wedge60TipHalfCornerLeft
748	woodShapes:wedge60TipHalfCornerRight
749	woodShapes:wedge60Corner
750	woodShapes:wedge60TipCorner
751	woodShapes:wedge60InsideCorner2
752	woodShapes:wedge60InsideCorner
753	woodShapes:wedge60InsideCornerTip2
754	woodShapes:wedge60InsideCornerBase2
755	woodShapes:wedge60Incline
756	woodShapes:cubeHalfWedge60Incline
757	woodShapes:cubeHalfWedge60InclineRampInclineHalfFillerLeft
758	woodShapes:cubeHalfWedge60InclineRampInclineHalfFillerRight
759	woodShapes:wedge60SplitInclineLeft
760	woodShapes:wedge60SplitInclineRight
761	woodShapes:wedge60SplitInclineLeft02
762	woodShapes:wedge60SplitInclineRight02
763	woodShapes:wedge60SplitInclineLeft03
764	woodShapes:wedge60SplitInclineRight03
765	woodShapes:wedge60SplitInclineRampLeft
766	woodShapes:wedge60SplitInclineRampRight
767	woodShapes:wedge60InclineCorner
768	woodShapes:cubeHalfWedge60InclineCornerLeft
769	woodShapes:cubeHalfWedge60InclineCornerRight
770	woodShapes:wedge60InclineLeft
771	woodShapes:wedge60InclineRight
772	woodShapes:wedge60InclineHalfInclineFillerLeft
773	woodShapes:wedge60InclineHalfInclineFillerRight
774	woodShapes:wedge60InclineHalfInclineFillerLeft02
775	woodShapes:wedge60InclineHalfInclineFillerRight02
776	woodShapes:wedge60InclineFillerWedge60TipHalfLeft
777	woodShapes:wedge60InclineFillerWedge60TipHalfRight
778	woodShapes:wedge60SlopeBase
779	woodShapes:wedge60SlopeMiddle
780	woodShapes:wedge60SlopeTip
781	woodShapes:wedge60SlopeTip2
782	woodShapes:wedge60SlopeBaseIncline
783	woodShapes:wedge60SlopeMiddleIncline
784	woodShapes:wedge60SlopeTipIncline
785	woodShapes:wedge60SlopeTip2Incline
786	woodShapes:wedge60SlopeCorner01
787	woodShapes:wedge60SlopeCorner02
788	woodShapes:wedge60SlopeCorner03
789	woodShapes:wedge60SlopeCorner04
790	woodShapes:wedgeInclineCornerTop
791	woodShapes:wedgeInclineCornerTop2
792	woodShapes:rampInclineInsideCnr
793	woodShapes:rampInclineHalfLeft
794	woodShapes:rampInclineHalfRight
795	woodShapes:rampInclinePlateLeft
796	woodShapes:rampInclinePlateRight
797	woodShapes:wedge60TipCubeQuarterLeft
798	woodShapes:wedge60TipCubeQuarterRight
799	woodShapes:rampInclineHalfWedge60TipHalfLeft
800	woodShapes:rampInclineHalfWedge60TipHalfRight
801	woodShapes:wedge60CornerRampInclineFillerLeft
802	woodShapes:wedge60CornerRampInclineFillerRight
803	woodShapes:wedge60TipRampInclineHalfFillerLeft
804	woodShapes:wedge60TipRampInclineHalfFillerRight
805	woodShapes:wedge60TipHalfRampInclineHalfFillerLeft
806	woodShapes:wedge60TipHalfRampInclineHalfFillerRight
807	woodShapes:wedge60TipHalfRampTipOffsetHalfLeft
808	woodShapes:wedge60TipHalfRampTipOffsetHalfRight
809	woodShapes:wedge60TipHalfRampTipHalfCornerLeft
810	woodShapes:wedge60TipHalfRampTipHalfCornerRight
811	woodShapes:wedge60TipHalfRampTipHalfCornerInclineLeft
812	woodShapes:wedge60TipHalfRampTipHalfCornerInclineRight
813	woodShapes:wedge60RampInclineHalfFillerLeft
814	woodShapes:wedge60RampInclineHalfFillerRight
815	woodShapes:rampSplitWedge60Left
816	woodShapes:rampSplitWedge60Right
817	woodShapes:rampSplitWedge60HollowLeft
818	woodShapes:rampSplitWedge60HollowRight
819	woodShapes:rampSplitWedge60TipLeft
820	woodShapes:rampSplitWedge60TipRight
821	woodShapes:rampSplitWedge60TipLeft02
822	woodShapes:rampSplitWedge60TipRight02
823	woodShapes:wedge60SplitLeft01
824	woodShapes:wedge60SplitRight01
825	woodShapes:wedge60SplitLeft02
826	woodShapes:wedge60SplitRight02
827	woodShapes:wedge60SplitLeft03
828	woodShapes:wedge60SplitRight03
829	woodShapes:wedge60SplitLeft04
830	woodShapes:wedge60SplitRight04
831	woodShapes:wedge60SplitLeft05
832	woodShapes:wedge60SplitRight05
833	woodShapes:wedge60SplitLeft06
834	woodShapes:wedge60SplitRight06
835	woodShapes:wedge60SplitLeft07
836	woodShapes:wedge60SplitRight07
837	woodShapes:wedge60SplitLeft08
838	woodShapes:wedge60SplitRight08
839	woodShapes:wedge60SplitLeft09
840	woodShapes:wedge60SplitRight09
841	woodShapes:wedge60SplitLeft10
842	woodShapes:wedge60SplitRight10
843	woodShapes:wedge60SplitLeft11
844	woodShapes:wedge60SplitRight11
845	woodShapes:wedge60SplitLeft12
846	woodShapes:wedge60SplitRight12
847	woodShapes:wedge60SplitLeft13
848	woodShapes:wedge60SplitRight13
849	woodShapes:wedge60SplitLeft14
850	woodShapes:wedge60SplitRight14
851	woodShapes:cubeHalfWedge60BevelLeft
852	woodShapes:cubeHalfWedge60BevelRight
853	woodShapes:wedge60InclineHalfLeft
854	woodShapes:wedge60InclineHalfRight
855	woodShapes:wedge60TipSteepWedge60InclineHalfLeft
856	woodShapes:wedge60TipSteepWedge60InclineHalfRight
857	woodShapes:wedge60InclineHalfTeeLeft
858	woodShapes:wedge60InclineHalfTeeRight
859	woodShapes:wedge60TipHalfLeft
860	woodShapes:wedge60TipHalfRight
861	woodShapes:wedge60InclineHalfLeftFiller
862	woodShapes:wedge60InclineHalfRightFiller
863	woodShapes:wedge60InclineFiller
864	woodShapes:wedge60TipCornerInclineFiller
865	woodShapes:wedge60TipCornerBase
866	woodShapes:wedge60TipCornerTop
867	woodShapes:wedgeInsideCornerBase
868	woodShapes:wedgeInsideCornerTop
869	woodShapes:wedgeInsideCornerBase2
870	woodShapes:wedgeInsideCornerTop2
871	woodShapes:wedgeNarrowHigh
872	woodShapes:wedgeNarrowMid
873	woodShapes:wedgeNarrowLow
874	woodShapes:wedgeNarrowTip
875	woodShapes:cubeNarrowPyramidBase
876	woodShapes:wedgeNarrowHighCorner
877	woodShapes:wedgeNarrowMidCorner
878	woodShapes:wedgeNarrowLowCorner
879	woodShapes:wedgeNarrowTipCorner
880	woodShapes:wedgeRampLeft
881	woodShapes:wedgeRampRight
882	woodShapes:wedgeTipRampLeft
883	woodShapes:wedgeTipRampRight
884	woodShapes:wedgeRampInclineLeft
885	woodShapes:wedgeRampInclineRight
886	woodShapes:wedgeTipRampInclineLeft
887	woodShapes:wedgeTipRampInclineRight
888	woodShapes:wedgeTipRampInclineFiller
889	woodShapes:wedgeTipRampInclineFillerLeft
890	woodShapes:wedgeTipRampInclineFillerRight
891	woodShapes:wedgeSteepTipLeft
892	woodShapes:wedgeSteepTipRight
893	woodShapes:wedgeSteepWedgeLeft
894	woodShapes:wedgeSteepWedgeRight
895	woodShapes:rampWedge60TipSteepLeft
896	woodShapes:rampWedge60TipSteepRight
897	woodShapes:rampWedge60TipSteepHollowLeft
898	woodShapes:rampWedge60TipSteepHollowRight
899	woodShapes:wedgeTipSteepTipLeft
900	woodShapes:wedgeTipSteepTipRight
901	woodShapes:wedgeTipSteepWedgeLeft
902	woodShapes:wedgeTipSteepWedgeRight
903	woodShapes:rampSteepWedgeLeft
904	woodShapes:rampSteepWedgeRight
905	woodShapes:rampWedgeTip
906	woodShapes:rampWedgeTipHalfLeft
907	woodShapes:rampWedgeTipHalfRight
908	woodShapes:rampWedgeTipHollow
909	woodShapes:rampWedgeTipHalfHollowLeft
910	woodShapes:rampWedgeTipHalfHollowRight
911	woodShapes:wedge60GablePyramid
912	woodShapes:wedge60GablePyramidHollow
913	woodShapes:wedge60TipGableHalf
